1
P   36
-5.10417   -7.99479
-5.07812   -9.21875
-4.01042   -9.81771
-2.70833   -9.375
0.885417   -6.43229
2.23958   2.63021
-0.651041   5.3125
-1.61458   7.21354
-1.27604   10.026
2.05729   11.5625
4.34896   11.1458
6.17188   10.3125
6.22396   8.38542
5.72917   5.65104
5.3125   3.35937
0.651042   2.63021
-1.875   2.13542
-4.16667   1.48437
-6.48437   0.520832
-7.70833   -1.19792
-8.125   -3.80208
-7.21354   -5.78125
-5.41667   -6.97917
-2.63021   -7.52604
1.84896   -7.23958
4.47917   -5.52083
6.5625   -3.82812
6.27604   -1.48438
3.61979   0.78125
1.17188   1.51042
-1.64062   0.234374
-3.72396   -0.729168
-4.50521   -2.34375
-3.15104   -3.54167
-1.19792   -3.59375
1.11979   -1.82292
